Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:15:53,500;14.0;;;;;;;;;11.0;4.0;3.0;4.0;;
19:15:54,0;17.0;;;;;;;;;10.0;;3.0;;;
19:15:54,500;13.0;;135.0;;;;;11.0;;9.0;;;4.0;;
19:15:55,0;16.5;;;;;;;10.0;;10.0;;;;;
19:15:55,500;;7.0;144.0;;;;;11.0;2.0;;4.0;;;;
19:15:56,0;16.0;;;;;;;;;10.0;;4.0;;;
19:15:56,500;13.0;;140.0;;2.0;;;11.0;;10.0;;;3.0;;
19:15:57,0;18.0;;;;;;;;;9.0;4.0;;;;
19:15:57,500;15.0;;139.0;;;;;11.0;;9.0;3.5;;2.0;;
19:15:58,0;17.0;;;;;;;;;10.0;;3.5;;;
19:15:58,500;13.0;;140.0;;;;;11.0;;9.0;;3.0;;;
19:15:59,0;17.0;;;;;;;;;;4.0;;4.0;;
19:15:59,500;;4.0;138.5;;;;;12.5;1.0;;4.0;;3.5;;
19:16:00,0;16.0;;;;;;;;;;3.0;;;22.0;
19:16:00,500;14.0;;141.0;;;;;11.0;;9.5;;;5.0;;
19:16:01,0;16.5;;;;;;;;;;3.5;;;;
19:16:01,500;14.0;5.0;142.0;;;;;;;;4.0;3.0;;;
19:16:02,0;15.5;;;;;;;;;9.0;;3.5;;;
19:16:02,500;;5.0;;;;;;11.0;;9.0;4.0;4.0;4.0;;
19:16:03,0;16.0;;;;;;;;;;4.0;;;;
19:16:03,500;18.5;;140.0;4.0;;;;;;;3.3333333333333335;;3.0;;
19:16:04,0;23.0;;;;;;;;;8.0;;4.0;;;
19:16:04,500;13.0;5.0;141.0;;;;;;;;;;3.6666666666666665;;
19:16:05,0;18.0;;;;2.0;;;11.0;;;;;;;
19:16:05,500;12.5;;142.0;;;;;10.0;;9.0;3.0;;;;
19:16:06,0;16.0;;;;;;;;;9.0;;3.0;;;
19:16:06,500;;5.0;142.0;;;;;10.0;2.0;8.25;;4.0;;;
19:16:07,0;15.0;;;;;;;;;;4.0;;4.0;;
19:16:07,500;12.5;5.0;139.0;;;;;;;9.0;4.0;3.0;;21.0;
19:16:08,0;17.0;;;;;;;11.0;;9.0;3.5;;;;
